cancer_type,protein,mean_in,mean_out,fold_change,p_value
Pancreatic,TOMM7,5.026,0.357,4.669,4.236047088961976e-11
Lung,AGK,2.12,0.0,2.12,5.472975740793387e-11
Pancreatic,FKBP10,5.989,0.983,5.006,3.789456935060895e-07
Breast,NBR1,1.297,0.0,1.297,2.13800200196853e-06
Lung,FKBP8,2.165,0.048,2.117,5.385585357414163e-06
Normal/Control,FUNDC1,0.781,0.0,0.781,4.614737874480526e-05
Normal/Control,NIPSNAP2,2.687,0.243,2.444,7.015462281269076e-05
Other,TIMM13,0.203,1.768,-1.565,0.00013253126531194946
Lung,TIMM13,3.966,0.455,3.511,0.00019946261266473903
Lung,PGAM5,4.037,0.445,3.593,0.0004000848322508231
Normal/Control,NLN,5.245,1.31,3.935,0.000518609450579493
Normal/Control,HSPE1,9.563,4.015,5.548,0.0011483390654502764
Breast,HTRA2,1.041,0.055,0.986,0.0013862752406755543
Breast,MFN1,1.032,0.053,0.979,0.0013862752406755543
Breast,LONP1,5.436,1.434,4.002,0.0023965384401725322
Normal/Control,AIFM1,3.507,0.801,2.706,0.0030761572958317206
Pancreatic,TOMM6,1.134,0.147,0.986,0.0033223479856856622
Other,HSPE1,3.729,6.558,-2.829,0.00471123702639897
Breast,NRDC,2.323,0.337,1.986,0.0059303364185199535
Normal/Control,CLPB,0.836,0.049,0.788,0.006519319322721733
Other,TOMM7,0.423,1.608,-1.186,0.006648955752041015
Lung,CASP8,4.338,0.739,3.6,0.006884704983011041
Lung,TIMM8A,2.15,0.207,1.942,0.007846617155975568
Pancreatic,MTX1,1.387,0.214,1.173,0.009806973501626012
Breast,AIFM1,3.457,0.844,2.613,0.012189045225155572
Pancreatic,RAB24,0.716,0.052,0.665,0.014901217840163662
Pancreatic,BCL2L13,0.678,0.047,0.632,0.014901217840163662
Pancreatic,TOMM40,0.627,0.047,0.581,0.015569340627317662
Normal/Control,AFG3L2,1.773,0.295,1.478,0.015690370480459487
Patient plasma,TRAP1,0.0,13.837,-13.837,0.01695907703195053
Lung,MTX1,2.146,0.25,1.896,0.018271337707053383
Normal/Control,PARK7,14.057,11.645,2.412,0.01878509901410591
Lung,PARK7,18.475,11.627,6.848,0.019581321575280006
Breast,NIPSNAP1,2.169,0.444,1.725,0.020563465598981655
Pancreatic,HSPE1,8.131,4.052,4.079,0.022666456481101334
Patient plasma,DNM1L,0.0,11.083,-11.083,0.024656795905127107
Patient plasma,HSPD1,0.0,11.234,-11.234,0.025791705574472745
Other,AIFM1,0.711,1.858,-1.147,0.026717120414066493
Other,FKBP10,1.039,2.375,-1.335,0.02812492244197655
Pancreatic,TRAP1,11.008,13.875,-2.867,0.03109320544468791
Lung,TOMM34,2.225,0.305,1.92,0.03140654517502933
Other,TIMM8A,0.126,0.718,-0.592,0.03293435499405669
Normal/Control,TIMM13,2.242,0.432,1.809,0.04196223386905411
Pancreatic,MTCH2,1.929,0.594,1.334,0.04262374134256458
Breast,PARK7,15.942,11.597,4.344,0.043565059953746696
Other,NLN,1.266,2.524,-1.258,0.04425442981581733
Other,NIPSNAP1,0.361,1.1,-0.739,0.04642076510562905
Other,NBR1,0.0,0.259,-0.259,0.054628770729208874
Other,AGK,0.0,0.226,-0.226,0.054628770729208874
Other,FUNDC1,0.0,0.208,-0.208,0.054628770729208874
Breast,PITRM1,2.212,0.604,1.609,0.05980750692879643
Other,PARK7,11.427,13.1,-1.673,0.0626847543306593
Normal/Control,NIPSNAP1,1.77,0.442,1.327,0.06292938015100959
Pancreatic,CASP8,2.145,0.724,1.421,0.06452711959414903
Normal/Control,LAP3,13.997,11.159,2.838,0.0704695808380522
Lung,NRDC,2.04,0.384,1.656,0.07380072720303127
Breast,DNM1L,14.212,10.814,3.398,0.07536303439806658
Breast,TIMM8A,1.226,0.208,1.018,0.0773976021601174
Breast,IDE,6.779,3.626,3.153,0.07985212540203757
Lung,CASP3,6.692,2.651,4.041,0.08234507636081308
Other,MTX1,0.191,0.673,-0.481,0.08602580587161271
Pancreatic,PARK7,9.469,11.95,-2.481,0.08630449097448431
Patient plasma,LAP3,4.167,11.401,-7.233,0.08901809584341365
Other,CLPX,0.71,0.0,0.71,0.09722975518287937
Pancreatic,LONP1,0.0,1.72,-1.72,0.09960671900258573
Normal/Control,TOMM70,6.173,3.714,2.458,0.10883495427255903
Pancreatic,ARL2,2.16,4.815,-2.655,0.11078326788032401
Pancreatic,SLC25A6,8.76,5.385,3.375,0.1127114781743435
Lung,TRAP1,20.411,13.525,6.886,0.12061044339494664
Breast,SLC25A5,2.511,6.142,-3.63,0.12236095009105609
Normal/Control,SLC25A6,8.186,5.46,2.726,0.1343034824054672
Pancreatic,DNM1L,6.83,11.258,-4.429,0.13523272879706585
Breast,SLC25A6,2.435,5.755,-3.32,0.13899984655313316
Other,TOMM20,0.463,0.0,0.463,0.13923772015075
Normal/Control,PHB,0.814,3.001,-2.186,0.13937321207155448
Other,CASP8,0.672,1.372,-0.7,0.1429570110846113
Colorectal,IDE,9.958,3.706,6.251,0.14473574475657294
Normal/Control,PITRM1,1.745,0.608,1.137,0.14548672918618477
Normal/Control,UQCRC1,4.346,2.351,1.995,0.14899021027862205
Other,IDE,3.502,4.715,-1.213,0.15070440008449773
Breast,PMPCB,3.52,1.568,1.951,0.15205325439612252
Colorectal,LAP3,5.403,11.37,-5.967,0.15909760971185594
Breast,SLC25A4,2.431,5.528,-3.096,0.16079002879963555
Pancreatic,SLC25A5,8.77,5.786,2.984,0.16187115713215772
Normal/Control,TIMM8A,0.913,0.212,0.701,0.1638557900302574
Patient plasma,FIS1,0.0,5.453,-5.453,0.1702407873944538
Normal/Control,MTX2,1.753,0.663,1.09,0.17282011259011199
Pancreatic,ATAD1,1.225,0.498,0.727,0.1777891540163561
Normal/Control,UQCRC2,3.372,1.723,1.649,0.1806200274634434
Normal/Control,SLC25A5,8.186,5.856,2.33,0.1950506360758525
Lung,SLC25A5,2.204,6.075,-3.871,0.19703497203504772
Other,ARL2,4.95,3.464,1.486,0.20071123542633318
Colorectal,TRAP1,20.843,13.619,7.224,0.2194277292648794
Normal/Control,PMPCA,4.172,2.528,1.644,0.22044077722247457
Lung,DNM1L,15.324,10.857,4.467,0.22335386794270295
Patient plasma,ARL2,0.0,4.688,-4.688,0.22623871990821143
Lung,SLC25A6,2.204,5.693,-3.488,0.22840791726090415
Colorectal,SLC25A5,0.0,6.039,-6.039,0.23051399844272846
Other,PMPCB,1.485,2.268,-0.783,0.23321199328567221
Normal/Control,CLPP,1.687,0.732,0.955,0.23382607896066077
Colorectal,FIS1,0.0,5.438,-5.438,0.23595654110084474
Pancreatic,IDE,2.109,3.879,-1.77,0.2360800499548743
Other,PMPCA,2.428,3.337,-0.909,0.23777113503808667
Lung,UQCRC1,0.0,2.52,-2.52,0.2389268449852
Lung,LACTB,2.084,0.668,1.415,0.24341783605193745
Breast,SNAP29,1.128,0.355,0.773,0.24534039002973462
Other,NIPSNAP2,0.291,0.716,-0.425,0.2459680977694585
Pancreatic,LAP3,14.092,11.117,2.974,0.2475587774854101
Colorectal,SLC25A6,0.0,5.662,-5.662,0.2528488088284204
Lung,SLC25A4,2.204,5.47,-3.266,0.257138878095285
Normal/Control,OPA1,1.711,0.743,0.968,0.25747286641551315
Normal/Control,IDE,5.237,3.671,1.566,0.2576602333425073
Breast,FKBP10,0.0,1.381,-1.381,0.25778093320293893
Other,TOMM5,0.671,0.199,0.471,0.25972455233819136
Colorectal,SLC25A4,0.0,5.443,-5.443,0.2645951226524714
Pancreatic,CLPP,0.0,0.843,-0.843,0.271709238714546
Normal/Control,SLC25A4,7.24,5.286,1.954,0.273577088874965
Normal/Control,DNM1L,8.666,11.095,-2.429,0.27531984909420815
Lung,CLPP,2.163,0.754,1.409,0.2768706310740786
Patient plasma,TOMM70,0.0,3.897,-3.897,0.28452336560650604
Patient plasma,PHB2,0.0,3.931,-3.931,0.28452336560650604
Patient plasma,IDE,0.0,3.802,-3.802,0.28452336560650604
Other,STOML2,0.949,0.443,0.505,0.28458990973030485
Lung,IDE,6.299,3.701,2.599,0.2872689726583526
Pancreatic,MTX2,0.0,0.778,-0.778,0.2879979593095684
Pancreatic,LACTB,0.0,0.751,-0.751,0.2879979593095684
Normal/Control,STOML2,0.0,0.892,-0.892,0.28882777022006256
Colorectal,ARL2,0.0,4.675,-4.675,0.2957521565229727
Pancreatic,FIS1,3.52,5.528,-2.007,0.2990953588569879
