group_a,group_b,n_a,n_b,median_a,median_b,U_stat,p_value,effect_r,p_adj,significant
triple-negative breast carcinoma,breast cancer,19,5,0.25469846199152557,0.48471451175543523,0.0,4.7054394880481836e-05,1.0,0.0009881422924901185,True
estrogen-receptor positive breast cancer,breast cancer,19,5,0.2938274719788896,0.48471451175543523,8.0,0.00282326369282891,0.8315789473684211,0.029644268774703556,True
triple-negative breast carcinoma,breast carcinoma,19,2,0.25469846199152557,0.4719705820336174,0.0,0.009523809523809525,1.0,0.05,False
triple-negative breast carcinoma,invasive lobular breast carcinoma,19,2,0.25469846199152557,0.4970292822865158,0.0,0.009523809523809525,1.0,0.05,False
triple-negative breast carcinoma,estrogen-receptor positive breast cancer,19,19,0.25469846199152557,0.2938274719788896,103.0,0.02457647481941582,0.4293628808864266,0.10322119424154645,False
estrogen-receptor positive breast cancer,breast carcinoma,19,2,0.2938274719788896,0.4719705820336174,2.0,0.0380952380952381,0.8947368421052632,0.13333333333333333,False
invasive ductal breast carcinoma,breast cancer,22,5,0.3398898140878213,0.48471451175543523,23.0,0.0468475164127338,0.5818181818181818,0.1405425492382014,False
HER2 positive breast carcinoma,breast cancer,4,5,0.3422544895244322,0.48471451175543523,2.0,0.06349206349206349,0.8,0.14814814814814814,False
estrogen-receptor positive breast cancer,invasive lobular breast carcinoma,19,2,0.2938274719788896,0.4970292822865158,3.0,0.05714285714285715,0.8421052631578947,0.14814814814814814,False
HER2 positive breast carcinoma,breast carcinoma,4,2,0.3422544895244322,0.4719705820336174,0.0,0.13333333333333333,1.0,0.18666666666666665,False
triple-negative breast carcinoma,HER2 positive breast carcinoma,19,4,0.25469846199152557,0.3422544895244322,18.0,0.1163184641445511,0.5263157894736843,0.18666666666666665,False
HER2 positive breast carcinoma,invasive lobular breast carcinoma,4,2,0.3422544895244322,0.4970292822865158,0.0,0.13333333333333333,1.0,0.18666666666666665,False
invasive ductal breast carcinoma,invasive lobular breast carcinoma,22,2,0.3398898140878213,0.4970292822865158,6.0,0.11594202898550725,0.7272727272727273,0.18666666666666665,False
triple-negative breast carcinoma,invasive ductal breast carcinoma,19,22,0.25469846199152557,0.3398898140878213,144.0,0.09173600418801962,0.3110047846889952,0.18666666666666665,False
invasive ductal breast carcinoma,breast carcinoma,22,2,0.3398898140878213,0.4719705820336174,6.0,0.11594202898550725,0.7272727272727273,0.18666666666666665,False
estrogen-receptor positive breast cancer,HER2 positive breast carcinoma,19,4,0.2938274719788896,0.3422544895244322,34.0,0.7846414455110109,0.10526315789473684,0.9473684210526315,False
invasive lobular breast carcinoma,breast cancer,2,5,0.4970292822865158,0.48471451175543523,6.0,0.8571428571428571,-0.19999999999999996,0.9473684210526315,False
estrogen-receptor positive breast cancer,invasive ductal breast carcinoma,19,22,0.2938274719788896,0.3398898140878213,198.0,0.7836883650361984,0.052631578947368474,0.9473684210526315,False
breast carcinoma,breast cancer,2,5,0.4719705820336174,0.48471451175543523,6.0,0.8571428571428571,-0.19999999999999996,0.9473684210526315,False
HER2 positive breast carcinoma,invasive ductal breast carcinoma,4,22,0.3422544895244322,0.3398898140878213,42.0,0.9182608695652171,0.045454545454545414,0.9641739130434781,False
invasive lobular breast carcinoma,breast carcinoma,2,2,0.4970292822865158,0.4719705820336174,2.0,1.0,0.0,1.0,False
